date,visitors,temperature,rainfall,weekend,festival
2023-01-01,213,22.6,0.0,1,0
2023-01-02,126,24.0,0.0,0,0
2023-01-03,147,22.5,2.5,0,0
2023-01-04,155,20.7,12.0,0,0
2023-01-05,148,22.7,14.0,0,0
2023-01-06,127,21.0,8.0,0,0
2023-01-07,193,24.6,4.6,1,0
2023-01-08,186,21.6,14.8,1,0
2023-01-09,158,22.2,2.2,0,0
2023-01-10,151,24.0,8.3,0,0
2023-01-11,139,27.7,1.7,0,0
2023-01-12,163,21.9,9.9,0,0
2023-01-13,135,23.4,0.0,0,0
2023-01-14,322,25.1,10.9,1,1
2023-01-15,197,22.6,6.9,1,0
2023-01-16,145,24.5,12.0,0,0
2023-01-17,151,25.5,5.5,0,0
2023-01-18,144,25.6,0.0,0,0
2023-01-19,145,23.5,0.0,0,0
2023-01-20,167,27.6,0.0,0,0
2023-01-21,201,21.3,2.3,1,0
2023-01-22,206,26.0,10.7,1,0
2023-01-23,164,24.3,1.3,0,0
2023-01-24,129,24.7,0.0,0,0
2023-01-25,146,23.4,9.0,0,0
2023-01-26,151,26.7,1.6,0,0
2023-01-27,156,26.7,2.5,0,0
2023-01-28,191,24.3,2.1,1,0
2023-01-29,185,23.3,8.9,1,0
2023-01-30,151,25.9,8.8,0,0
2023-01-31,139,27.3,4.2,0,0
2023-02-01,123,25.9,0.0,0,0
2023-02-02,157,23.5,0.0,0,0
2023-02-03,171,24.5,2.0,0,0
2023-02-04,175,25.7,10.9,1,0
2023-02-05,193,26.1,0.0,1,0
2023-02-06,157,28.3,0.0,0,0
2023-02-07,123,27.2,0.2,0,0
2023-02-08,153,27.0,0.8,0,0
2023-02-09,133,27.0,17.8,0,0
2023-02-10,149,25.0,6.4,0,0
2023-02-11,198,29.9,11.7,1,0
2023-02-12,188,30.2,0.0,1,0
2023-02-13,123,25.5,1.9,0,0
2023-02-14,121,28.8,3.2,0,0
2023-02-15,159,25.6,7.5,0,0
2023-02-16,137,31.7,28.3,0,0
2023-02-17,154,25.8,0.0,0,0
2023-02-18,187,26.3,1.7,1,0
2023-02-19,193,27.7,13.5,1,0
2023-02-20,119,27.7,0.0,0,0
