date,visitors,temperature,rainfall,humidity,is_weekend,is_holiday,festival_score
2023-01-01,213,19,42,53,1,0,0.0
2023-01-02,126,20,10,90,0,0,0.0
2023-01-03,147,26,36,92,0,0,0.0
2023-01-04,155,21,6,72,0,0,0.0
2023-01-05,148,23,35,76,0,0,0.0
2023-01-06,127,34,36,72,0,0,0.0
2023-01-07,193,22,21,83,1,0,0.0
2023-01-08,186,26,9,56,1,0,0.0
2023-01-09,158,18,22,67,0,0,0.0
2023-01-10,151,31,42,91,0,0,0.0
2023-01-11,139,30,21,83,0,0,0.0
2023-01-12,163,25,29,82,0,0,0.0
2023-01-13,135,22,0,94,0,0,0.0
2023-01-14,322,32,26,82,1,0,0.0
2023-01-15,197,27,8,66,1,0,8.0
2023-01-16,145,29,21,69,0,0,0.0
2023-01-17,151,29,47,81,0,0,0.0
2023-01-18,144,35,14,92,0,0,0.0
2023-01-19,145,18,3,68,0,0,0.0
2023-01-20,167,20,26,92,0,0,0.0
2023-01-21,201,26,17,59,1,0,0.0
2023-01-22,206,28,5,61,1,0,0.0
2023-01-23,164,29,37,71,0,0,0.0
2023-01-24,129,31,22,57,0,0,0.0
2023-01-25,146,31,4,55,0,0,0.0
2023-01-26,151,32,18,56,0,1,0.0
2023-01-27,156,26,2,89,0,0,0.0
2023-01-28,191,24,3,68,1,0,0.0
2023-01-29,185,20,19,84,1,0,0.0
2023-01-30,151,33,46,70,0,0,0.0
2023-01-31,139,34,33,67,0,0,0.0
2023-02-01,123,27,5,50,0,0,0.0
2023-02-02,157,31,6,61,0,0,0.0
2023-02-03,171,30,3,54,0,0,0.0
2023-02-04,175,23,14,79,1,0,0.0
2023-02-05,193,20,43,60,1,0,0.0
2023-02-06,157,18,17,53,0,0,0.0
2023-02-07,123,35,33,83,0,0,0.0
2023-02-08,153,18,2,91,0,0,0.0
2023-02-09,133,22,38,80,0,0,0.0
2023-02-10,149,18,0,62,0,0,0.0
2023-02-11,198,31,7,76,1,0,0.0
2023-02-12,188,26,48,94,1,0,0.0
2023-02-13,123,28,27,95,0,0,0.0
2023-02-14,121,31,41,66,0,0,0.0
2023-02-15,159,18,10,61,0,0,0.0
2023-02-16,137,33,25,61,0,0,0.0
2023-02-17,154,26,47,52,0,0,0.0
2023-02-18,187,20,29,69,1,0,0.0
2023-02-19,193,24,32,91,1,0,0.0
2023-02-20,119,35,20,58,0,0,0.0
2023-02-21,178,29,38,75,0,0,0.0
2023-02-22,131,18,42,78,0,0,0.0
2023-02-23,136,23,46,81,0,0,0.0
2023-02-24,165,18,12,92,0,0,0.0
2023-02-25,198,22,31,94,1,0,0.0
2023-02-26,184,26,21,83,1,0,0.0
2023-02-27,126,22,26,66,0,0,0.0
2023-02-28,173,23,2,73,0,0,0.0
2023-03-01,152,32,2,52,0,0,0.0
2023-03-02,137,30,29,85,0,0,0.0
2023-03-03,171,33,22,53,0,0,0.0
2023-03-04,175,20,4,50,1,0,0.0
2023-03-05,183,21,20,52,1,0,0.0
2023-03-06,118,29,23,69,0,0,0.0
2023-03-07,135,33,15,83,0,0,0.0
2023-03-08,153,34,21,79,0,1,0.0
2023-03-09,157,34,30,55,0,0,0.0
2023-03-10,131,18,0,57,0,0,0.0
2023-03-11,193,27,18,78,1,0,0.0
2023-03-12,200,25,38,71,1,0,0.0
2023-03-13,166,25,25,54,0,0,0.0
2023-03-14,136,20,6,66,0,0,0.0
2023-03-15,152,23,15,67,0,0,0.0
2023-03-16,151,31,5,76,0,0,0.0
2023-03-17,166,31,29,69,0,0,0.0
2023-03-18,171,32,33,60,1,0,0.0
2023-03-19,216,31,42,63,1,0,0.0
2023-03-20,111,20,27,59,0,0,0.0
2023-03-21,140,28,24,92,0,0,0.0
2023-03-22,115,29,7,53,0,0,0.0
2023-03-23,111,34,9,92,0,0,0.0
2023-03-24,188,28,26,83,0,0,0.0
2023-03-25,204,19,33,91,1,0,0.0
